hh_index	psc_index	sc1	sc2	sc3	scropped_flag	sc5	s_maxcrops	s_mincrops	sc6	rgrp5_count	psc_id	psc_uuid	psc_submission_time	psc_parent_table_name	psc_parent_index	psc_tags	psc_notes	psc_version	psc_duration	psc_submitted_by
86.0	380	2	"Mkombo"	2	3									"APS_tz17_hh"	86					
86.0	381	3	"Kanondo"	3	99									"APS_tz17_hh"	86					
87.0	382	1	"Makala Maize"	1	2									"APS_tz17_hh"	87					
87.0	383	2	"Makala Beans"	2	2									"APS_tz17_hh"	87					
87.0	384	3	"Katonto Maize 1"	3	2									"APS_tz17_hh"	87					
87.0	385	4	"Katonto Groundnuts"	4	2									"APS_tz17_hh"	87					
87.0	386	5	"Katonto Maize 2"	5	2									"APS_tz17_hh"	87					
87.0	387	6	"Katonto Fallow"	6	2									"APS_tz17_hh"	87					
87.0	388	7	"Makala Garden"	7	6									"APS_tz17_hh"	87					
88.0	389	1	"Kipoma beans"	1	2									"APS_tz17_hh"	88					
88.0	390	2	"Kipoma Garden"	2	6									"APS_tz17_hh"	88					
88.0	391	3	"Mwanga beans 1"	3	2									"APS_tz17_hh"	88					
88.0	392	4	"Mwanga beans 2"	4	2									"APS_tz17_hh"	88					
88.0	393	5	"Mwanga Maize"	5	2									"APS_tz17_hh"	88					
88.0	394	6	"Mwanga Groundnuts"	6	2									"APS_tz17_hh"	88					
88.0	395	7	"Shuleni"	7	2									"APS_tz17_hh"	88					
89.0	396	1	"Machele Maize 1"	1	2									"APS_tz17_hh"	89					
89.0	397	2	"Machele Maize 2"	2	2									"APS_tz17_hh"	89					
89.0	398	3	"Machele Maize 3"	3	2									"APS_tz17_hh"	89					
89.0	399	4	"Machele Garden"	4	2									"APS_tz17_hh"	89					
89.0	400	5	"Mkumbo"	5	2									"APS_tz17_hh"	89					
89.0	401	6	"Machele Finger millet"	6	2									"APS_tz17_hh"	89					
90.0	402	1	"Kitosi maize1"	1	3									"APS_tz17_hh"	90					
90.0	403	2	"Kitosi Maize2"	2	3									"APS_tz17_hh"	90					
90.0	404	3	"Garden"	3	6									"APS_tz17_hh"	90					
91.0	405	1	"Beans"	1	2									"APS_tz17_hh"	91					
91.0	406	2	"Maize"	2	2									"APS_tz17_hh"	91					
91.0	407	3	"Maize"	3	2									"APS_tz17_hh"	91					
91.0	408	4	"Bustani"	4	6									"APS_tz17_hh"	91					
92.0	409	1	"Maize"	1	2									"APS_tz17_hh"	92					
92.0	410	2	"Groundnuts"	2	2									"APS_tz17_hh"	92					
92.0	411	3	"Maize"	3	2									"APS_tz17_hh"	92					
92.0	412	4	"Bustani"	4	6									"APS_tz17_hh"	92					
93.0	413	1	"Maize"	1	2									"APS_tz17_hh"	93					
93.0	414	2	"Sunflower"	2	2									"APS_tz17_hh"	93					
93.0	415	3	"Kanondo"	3	2									"APS_tz17_hh"	93					
93.0	416	4	"Magomeni"	4	2									"APS_tz17_hh"	93					
94.0	417	1	"Maize"	1	3									"APS_tz17_hh"	94					
94.0	418	2	"Viazi"	2	3									"APS_tz17_hh"	94					
94.0	419	3	"Bustani"	3	6									"APS_tz17_hh"	94					
94.0	420	4	"Bustani"	4	6									"APS_tz17_hh"	94					
94.0	421	5	"Bustani"	5	6									"APS_tz17_hh"	94					
94.0	422	6	"Shamba la malisho"	6	3									"APS_tz17_hh"	94					
95.0	423	1	"Chilambe Maize"	1	2									"APS_tz17_hh"	95					
95.0	424	2	"Chilambe Garden"	2	2									"APS_tz17_hh"	95					
96.0	425	1	"Chilambe Maize 1"	1	2									"APS_tz17_hh"	96					
96.0	426	2	"Chilambe Maize 2"	2	2									"APS_tz17_hh"	96					
96.0	427	3	"Chilambe Beans"	3	2									"APS_tz17_hh"	96					
96.0	428	4	"Navilolo Maize"	4	2									"APS_tz17_hh"	96					
96.0	429	5	"Navilolo Beans"	5	2									"APS_tz17_hh"	96					
96.0	430	6	"Navilolo Groundnuts"	6	2									"APS_tz17_hh"	96					
97.0	431	1	"\"Maize, Namoe farm\""	1	2									"APS_tz17_hh"	97					
97.0	432	2	"\"Virgin Land for grazing, Namoe farm\""	2	3									"APS_tz17_hh"	97					
97.0	433	3	"\"Maize, Chiwezi farm\""	3	2									"APS_tz17_hh"	97					
98.0	434	1	"Namole Farm"	1	2									"APS_tz17_hh"	98					
99.0	435	1	"Navilolo"	1	3									"APS_tz17_hh"	99					
99.0	436	2	"Namangw'imbi"	2	3									"APS_tz17_hh"	99					
100.0	437	1	"Maize"	1	3									"APS_tz17_hh"	100					
100.0	438	2	"Shamba la nyumbani"	2	3									"APS_tz17_hh"	100					
100.0	439	3	"Maize"	3	3									"APS_tz17_hh"	100					
101.0	440	1	"Navilolo"	1	3									"APS_tz17_hh"	101					
101.0	441	2	"Navilolo"	2	3									"APS_tz17_hh"	101					
102.0	442	1	"Maize"	1	3									"APS_tz17_hh"	102					
102.0	443	2	"Maize"	2	3									"APS_tz17_hh"	102					
102.0	444	3	"Sunflower"	3	2									"APS_tz17_hh"	102					
103.0	445	1	"Mwinuko"	1	2									"APS_tz17_hh"	103					
103.0	446	2	"Nyumbani"	2	2									"APS_tz17_hh"	103					
103.0	447	3	"Alizeti"	3	2									"APS_tz17_hh"	103					
104.0	448	1	"Mtaa"	1	3									"APS_tz17_hh"	104					
104.0	449	2	"Ng'ambo"	2	3									"APS_tz17_hh"	104					
104.0	450	3	"Nyumbani"	3	3									"APS_tz17_hh"	104					
104.0	451	4	"Izimula"	4	2									"APS_tz17_hh"	104					
105.0	452	1	"Bondeni"	1	2									"APS_tz17_hh"	105					
105.0	453	2	"Tumbaku"	2	2									"APS_tz17_hh"	105					
105.0	454	3	"Maharage"	3	2									"APS_tz17_hh"	105					
106.0	455	1	"Mchungwani"	1	2									"APS_tz17_hh"	106					
106.0	456	2	"Mianzini"	2	2									"APS_tz17_hh"	106					
106.0	457	3	"Milundu"	3	2									"APS_tz17_hh"	106					
106.0	458	4	"Milundu"	4	2									"APS_tz17_hh"	106					
107.0	459	1	"Home"	1	2									"APS_tz17_hh"	107					
107.0	460	2	"Nasele"	2	3									"APS_tz17_hh"	107					
107.0	461	3	"Chianga"	3	3									"APS_tz17_hh"	107					
108.0	462	1	"Chianga"	1	3									"APS_tz17_hh"	108					
108.0	463	2	"Chianga"	2	3									"APS_tz17_hh"	108					
108.0	464	3	"Chianga"	3	3									"APS_tz17_hh"	108					
109.0	465	1	"Katete"	1	2									"APS_tz17_hh"	109					
109.0	466	2	"Katete"	2	4									"APS_tz17_hh"	109					
109.0	467	3	"Katete"	3	4									"APS_tz17_hh"	109					
109.0	468	4	"Katete"	4	2									"APS_tz17_hh"	109					
109.0	469	5	"Katete"	5	2									"APS_tz17_hh"	109					
109.0	470	6	"Katete"	6	2									"APS_tz17_hh"	109					
109.0	471	7	"Katete"	7	2									"APS_tz17_hh"	109					
110.0	472	1	"Mirundu"	1	2									"APS_tz17_hh"	110					
110.0	473	2	"Mirundu"	2	2									"APS_tz17_hh"	110					
110.0	474	3	"Neo la mpunga"	3	2									"APS_tz17_hh"	110					
110.0	475	4	"Miembeni"	4	2									"APS_tz17_hh"	110					
111.0	476	1	"Nyumbani"	1	2									"APS_tz17_hh"	111					
111.0	477	2	"Kumirundu1"	2	2									"APS_tz17_hh"	111					
111.0	478	3	"Kumirundu 2"	3	2									"APS_tz17_hh"	111					
112.0	479	1	"Nyumbani"	1	2									"APS_tz17_hh"	112					
112.0	480	2	"Mahameni1"	2	2									"APS_tz17_hh"	112					
112.0	481	3	"Mahameni2"	3	2									"APS_tz17_hh"	112					
113.0	482	1	"Njia ya Kalumwa"	1	2									"APS_tz17_hh"	113					
113.0	483	2	"Kwenye Matongolo"	2	2									"APS_tz17_hh"	113					
113.0	484	3	"Namadingo"	3	2									"APS_tz17_hh"	113					
113.0	485	4	"Nyumbani"	4	2									"APS_tz17_hh"	113					
113.0	486	5	"Fallow"	5	2									"APS_tz17_hh"	113					
113.0	487	6	"Fallow"	6	2									"APS_tz17_hh"	113					
113.0	488	7	"Fallow"	7	2									"APS_tz17_hh"	113					
114.0	489	1	"Shamba la Juu"	1	2									"APS_tz17_hh"	114					
114.0	490	2	"Shamba la chini"	2	2									"APS_tz17_hh"	114					
114.0	491	3	"Garden"	3	2									"APS_tz17_hh"	114					
114.0	492	4	"Nyumbani"	4	2									"APS_tz17_hh"	114					
115.0	493	1	"Kumilundu"	1	2									"APS_tz17_hh"	115					
115.0	494	2	"Chilambe"	2	2									"APS_tz17_hh"	115					
115.0	495	3	"Nyumbani"	3	2									"APS_tz17_hh"	115					
115.0	496	4	"Garden"	4	2									"APS_tz17_hh"	115					
115.0	497	5	"Mtoni"	5	2									"APS_tz17_hh"	115					
116.0	498	1	"Nachtukutu 1"	1	2									"APS_tz17_hh"	116					
116.0	499	2	"Nachtukutu 3"	2	2									"APS_tz17_hh"	116					
116.0	500	3	"Nachtukutu 2"	3	2									"APS_tz17_hh"	116					
116.0	501	4	"Nachtukutu 4"	4	2									"APS_tz17_hh"	116					
117.0	502	1	"Milundu 1"	1	2									"APS_tz17_hh"	117					
117.0	503	2	"Nashtukutu 1"	2	2									"APS_tz17_hh"	117					
117.0	504	3	"Nashtukutu 2"	3	2									"APS_tz17_hh"	117					
117.0	505	4	"Milundu 2"	4	2									"APS_tz17_hh"	117					
118.0	506	1	"Maharage"	1	2									"APS_tz17_hh"	118					
118.0	507	2	"Kahawa"	2	1	0	2	1	1	1				"APS_tz17_hh"	118					
118.0	508	3	"Mahind"	3	2									"APS_tz17_hh"	118					
119.0	509	1	"Naulongo"	1	3									"APS_tz17_hh"	119					
119.0	510	2	"Naulongo"	2	3									"APS_tz17_hh"	119					
119.0	511	3	"Magamba"	3	1	0	2	1	1	1				"APS_tz17_hh"	119					
120.0	512	1	"Karanga alizeti"	1	2									"APS_tz17_hh"	120					
120.0	513	2	"Mahindi"	2	2									"APS_tz17_hh"	120					
120.0	514	3	"Kahawa"	3	1	0	2	1	1	1				"APS_tz17_hh"	120					
120.0	515	4	"Maharage"	4	2									"APS_tz17_hh"	120					
121.0	516	1	"Nyumbani A"	1	3									"APS_tz17_hh"	121					
121.0	517	2	"Nyumbani B"	2	3									"APS_tz17_hh"	121					
121.0	518	3	"Shamba la maharage A"	3	3									"APS_tz17_hh"	121					
121.0	519	4	"Shamba la maharage B"	4	3									"APS_tz17_hh"	121					
121.0	520	5	"Shamba la chini"	5	3									"APS_tz17_hh"	121					
121.0	521	6	"Mtoni"	6	3									"APS_tz17_hh"	121					
122.0	522	1	"Naulongo"	1	3									"APS_tz17_hh"	122					
122.0	523	2	"Naulongo"	2	3									"APS_tz17_hh"	122					
123.0	524	1	"Nyumbani A"	1	3									"APS_tz17_hh"	123					
123.0	525	2	"Nyumbani B"	2	3									"APS_tz17_hh"	123					
123.0	526	3	"Nyumbani C"	3	1	0	2	1	1	1				"APS_tz17_hh"	123					
123.0	527	4	"Bondeni"	4	3									"APS_tz17_hh"	123					
124.0	528	1	"Itewe Beans&Groundnuts"	1	2									"APS_tz17_hh"	124					
124.0	529	2	"Itewe Maize"	2	2									"APS_tz17_hh"	124					
124.0	530	3	"Itewe Coffee"	3	1	0	2	1	1	1				"APS_tz17_hh"	124					
124.0	531	4	"Itewe Garden"	4	2									"APS_tz17_hh"	124					
125.0	532	1	"Beans"	1	3									"APS_tz17_hh"	125					
125.0	533	2	"Maize"	2	3									"APS_tz17_hh"	125					
125.0	534	3	"Beans"	3	2									"APS_tz17_hh"	125					
125.0	535	4	"Maize"	4	2									"APS_tz17_hh"	125					
125.0	536	5	"Maize"	5	2									"APS_tz17_hh"	125					
125.0	537	6	"Coffee"	6	1	0	2	1	1	1				"APS_tz17_hh"	125					
125.0	538	7	"Coffee"	7	1	0	2	1	1	1				"APS_tz17_hh"	125					
125.0	539	8	"Magamba -beans"	8	2									"APS_tz17_hh"	125					
126.0	540	1	"Itewe Beans&Gnuts"	1	2									"APS_tz17_hh"	126					
126.0	541	2	"Itewe Chini"	2	2									"APS_tz17_hh"	126					
126.0	542	3	"Itewe Coffee"	3	1	0	2	1	1	1				"APS_tz17_hh"	126					
126.0	543	4	"Itewe Garden"	4	2									"APS_tz17_hh"	126					
126.0	544	5	"Mtoni"	5	2									"APS_tz17_hh"	126					
127.0	545	1	"Groundnuts +Sunflower"	1	3									"APS_tz17_hh"	127					
127.0	546	2	"Maize"	2	3									"APS_tz17_hh"	127					
127.0	547	3	"\"Beans, Groundnuts, sunflower\""	3	3									"APS_tz17_hh"	127					
127.0	548	4	"Coffee"	4	1	0	2	1	1	1				"APS_tz17_hh"	127					
128.0	549	1	"\"Beans, Betherehem farm\""	1	1	0	2	1	1	1				"APS_tz17_hh"	128					
128.0	550	2	"\"Groundnut, Itewe farm\""	2	2									"APS_tz17_hh"	128					
128.0	551	3	"\"Coffee, Itewe farm\""	3	1	0	2	1	1	1				"APS_tz17_hh"	128					
128.0	552	4	"\"Maize, Itewe farm\""	4	2									"APS_tz17_hh"	128					
128.0	553	5	"\"Maize, Kwitanga farm\""	5	2									"APS_tz17_hh"	128					
129.0	554	1	"\"Beans, Itewe farm\""	1	1	0	2	1	1	1				"APS_tz17_hh"	129					
129.0	555	2	"\"Maize Sunflower, Itewe farm\""	2	2									"APS_tz17_hh"	129					
129.0	556	3	"Beans"	3	1	0	2	1	1	1				"APS_tz17_hh"	129					
129.0	557	4	"\"Groundnut , Itewe farm\""	4	2									"APS_tz17_hh"	129					
129.0	558	5	"\"Beans, Itewe farm\""	5	1	0	2	1	1	1				"APS_tz17_hh"	129					
129.0	559	6	"\"Maize, Itewe farm\""	6	2									"APS_tz17_hh"	129					
130.0	560	1	"Maize"	1	2									"APS_tz17_hh"	130					
130.0	561	2	"Maize"	2	2									"APS_tz17_hh"	130					
130.0	562	3	"Groundnut"	3	2									"APS_tz17_hh"	130					
130.0	563	4	"Beans"	4	2									"APS_tz17_hh"	130					
131.0	564	1	"Homestead 1"	1	3									"APS_tz17_hh"	131					
131.0	565	2	"Homesteady 2"	2	3									"APS_tz17_hh"	131					
132.0	566	1	"Bondeni"	1	3									"APS_tz17_hh"	132					
132.0	567	2	"Nyumbani"	2	3									"APS_tz17_hh"	132					
132.0	568	3	"Mlimani"	3	3									"APS_tz17_hh"	132					
132.0	569	4	"Mirundu"	4	3									"APS_tz17_hh"	132					
132.0	570	5	"Litogwa"	5	2									"APS_tz17_hh"	132					
132.0	571	6	"Chiyanga"	6	3									"APS_tz17_hh"	132					
133.0	572	1	"Dogo"	1	2									"APS_tz17_hh"	133					
133.0	573	2	"Magamba"	2	2									"APS_tz17_hh"	133					
133.0	574	3	"Fallow"	3	2									"APS_tz17_hh"	133					
133.0	575	4	"Bondeni"	4	2									"APS_tz17_hh"	133					
133.0	576	5	"Magamba chini"	5	2									"APS_tz17_hh"	133					
133.0	577	6	"Magamba2"	6	2									"APS_tz17_hh"	133					
134.0	578	1	"Maize"	1	2									"APS_tz17_hh"	134					
134.0	579	2	"Beans"	2	2									"APS_tz17_hh"	134					
134.0	580	3	"Coffee"	3	99									"APS_tz17_hh"	134					
135.0	581	1	"Shughuli"	1	2									"APS_tz17_hh"	135					
135.0	582	2	"Kwa kesi"	2	2									"APS_tz17_hh"	135					
135.0	583	3	"Kwa saidi"	3	2									"APS_tz17_hh"	135					
135.0	584	4	"Kahawa"	4	2									"APS_tz17_hh"	135					
136.0	585	1	"Numbani1"	1	2									"APS_tz17_hh"	136					
136.0	586	2	"Nyumbani2"	2	2									"APS_tz17_hh"	136					
136.0	587	3	"Nyunbani3"	3	2									"APS_tz17_hh"	136					
136.0	588	4	"Nyumbani4"	4	2									"APS_tz17_hh"	136					
137.0	589	1	"Thomas"	1	2									"APS_tz17_hh"	137					
137.0	590	2	"Nsenga"	2	2									"APS_tz17_hh"	137					
137.0	591	3	"Baraka"	3	2									"APS_tz17_hh"	137					
137.0	592	4	"Kahawa"	4	1	0	2	1	1	1				"APS_tz17_hh"	137					
137.0	593	5	"Nyumbani"	5	2									"APS_tz17_hh"	137					
137.0	594	6	"Eli"	6	2									"APS_tz17_hh"	137					
138.0	595	1	"Rundungu 1"	1	2									"APS_tz17_hh"	138					
138.0	596	2	"Rundungu 2"	2	2									"APS_tz17_hh"	138					
138.0	597	3	"Nyumbani "	3	2									"APS_tz17_hh"	138					
138.0	598	4	"Rundungu 4"	4	2									"APS_tz17_hh"	138					
138.0	599	5	"Rundungu 3"	5	1	0	2	1	1	1				"APS_tz17_hh"	138					
138.0	600	6	"Cofee"	6	1	0	2	1	1	1				"APS_tz17_hh"	138					
138.0	601	7	"Fallow "	7	2									"APS_tz17_hh"	138					
138.0	602	8	"Nyumbani 2"	8	1	0	2	1	1	1				"APS_tz17_hh"	138					
138.0	603	9	"Forest"	9	7									"APS_tz17_hh"	138					
139.0	604	1	"Rundungu 1"	1	1	0	2	1	1	1				"APS_tz17_hh"	139					
139.0	605	2	"Rundungu 2"	2	4									"APS_tz17_hh"	139					
139.0	606	3	"Rundungu 3"	3	1	0	2	1	1	1				"APS_tz17_hh"	139					
139.0	607	4	"Fallow "	4	2									"APS_tz17_hh"	139					
139.0	608	5	"Forest"	5	7									"APS_tz17_hh"	139					
139.0	609	6	"Nyumbani "	6	2									"APS_tz17_hh"	139					
139.0	610	7	"Nyumbani 2"	7	1	0	2	1	1	1				"APS_tz17_hh"	139					
140.0	611	1	"Nsenga"	1	2									"APS_tz17_hh"	140					
140.0	612	2	"Nsenga"	2	2									"APS_tz17_hh"	140					
140.0	613	3	"Kasama"	3	2									"APS_tz17_hh"	140					
140.0	614	4	"Mtunduru"	4	2									"APS_tz17_hh"	140					
140.0	615	5	"Nyumbani"	5	2									"APS_tz17_hh"	140					
141.0	616	1	"Nsenga"	1	1	1	11	2	2	2				"APS_tz17_hh"	141					
141.0	617	2	"Nsenga"	2	2									"APS_tz17_hh"	141					
141.0	618	3	"Nsenga"	3	2									"APS_tz17_hh"	141					
142.0	619	1	"Shamba la Abdalah 1"	1	2									"APS_tz17_hh"	142					
142.0	620	2	"Kulundungu 2"	2	2									"APS_tz17_hh"	142					
142.0	621	3	"Shamba la Abdalah 3"	3	1	0	2	1	1	1				"APS_tz17_hh"	142					
142.0	622	4	"Kwa Specta"	4	2									"APS_tz17_hh"	142					
142.0	623	5	"Shamba la Chini"	5	2									"APS_tz17_hh"	142					
142.0	624	6	"Kolongoni"	6	2									"APS_tz17_hh"	142					
142.0	625	7	"Shamba la Abdalah  2"	7	2									"APS_tz17_hh"	142					
142.0	626	8	"Kulundungu 2"	8	2									"APS_tz17_hh"	142					
143.0	627	1	"Nyumbani"	1	2									"APS_tz17_hh"	143					
143.0	628	2	"Mlimani"	2	2									"APS_tz17_hh"	143					
143.0	629	3	"Nyumbani 2"	3	2									"APS_tz17_hh"	143					
143.0	630	4	"Nyumbani  3"	4	1	0	2	1	1	1				"APS_tz17_hh"	143					
143.0	631	5	"Nambunde"	5	1	0	2	1	1	1				"APS_tz17_hh"	143					
143.0	632	6	"Nakalinda"	6	2									"APS_tz17_hh"	143					
144.0	633	1	"Nyumbani"	1	2									"APS_tz17_hh"	144					
144.0	634	2	"Nyumbani"	2	2									"APS_tz17_hh"	144					
144.0	635	3	"Iditima"	3	2									"APS_tz17_hh"	144					
144.0	636	4	"0.5"	4	7									"APS_tz17_hh"	144					
145.0	637	1	"Nyumbani"	1	2									"APS_tz17_hh"	145					
145.0	638	2	"Lulengidaho"	2	2									"APS_tz17_hh"	145					
145.0	639	3	"Kilongayene"	3	2									"APS_tz17_hh"	145					
146.0	640	1	"Mangi"	1	2									"APS_tz17_hh"	146					
146.0	641	2	"Machungwani"	2	2									"APS_tz17_hh"	146					
147.0	642	1	"Mahindi"	1	2									"APS_tz17_hh"	147					
147.0	643	2	"Mahindi"	2	2									"APS_tz17_hh"	147					
147.0	644	3	"3"	3	2									"APS_tz17_hh"	147					
147.0	645	4	"Mahindi"	4	2									"APS_tz17_hh"	147					
147.0	646	5	"Fallow"	5	2									"APS_tz17_hh"	147					
148.0	647	1	"Home"	1	3									"APS_tz17_hh"	148					
148.0	648	2	"Mkwalila"	2	3									"APS_tz17_hh"	148					
148.0	649	3	"Ilungulu"	3	3									"APS_tz17_hh"	148					
148.0	650	4	"Ikawa"	4	3									"APS_tz17_hh"	148					
148.0	651	5	"Ikawa"	5	3									"APS_tz17_hh"	148					
148.0	652	6	"Chalidege"	6	3									"APS_tz17_hh"	148					
149.0	653	1	"Nyumbani A"	1	3									"APS_tz17_hh"	149					
149.0	654	2	"Nyumbani B"	2	2									"APS_tz17_hh"	149					
149.0	655	3	"Mahame A"	3	2									"APS_tz17_hh"	149					
149.0	656	4	"Mahame B"	4	3									"APS_tz17_hh"	149					
149.0	657	5	"Nyumbani C"	5	3									"APS_tz17_hh"	149					
150.0	658	1	"Home"	1	3									"APS_tz17_hh"	150					
150.0	659	2	"Mameni"	2	3									"APS_tz17_hh"	150					
150.0	660	3	"Mameni"	3	3									"APS_tz17_hh"	150					
150.0	661	4	"Kisada"	4	3									"APS_tz17_hh"	150					
151.0	662	1	"Nyumbani"	1	3									"APS_tz17_hh"	151					
151.0	663	2	"Maganga"	2	3									"APS_tz17_hh"	151					
152.0	664	1	"Maize"	1	2									"APS_tz17_hh"	152					
152.0	665	2	"Ihongole"	2	2									"APS_tz17_hh"	152					
153.0	666	1	"Mahindi"	1	2									"APS_tz17_hh"	153					
153.0	667	2	"Mahindi"	2	2									"APS_tz17_hh"	153					
153.0	668	3	"Fallow"	3	2									"APS_tz17_hh"	153					
153.0	669	4	"Mbogamboga"	4	1	0	2	1	1	1				"APS_tz17_hh"	153					
154.0	670	1	"Mazebele"	1	2									"APS_tz17_hh"	154					
155.0	671	1	"Nyumbani1"	1	2									"APS_tz17_hh"	155					
155.0	672	2	"Nyumbani2"	2	2									"APS_tz17_hh"	155					
156.0	673	1	"\"Maize, Ihanga Farm\""	1	2									"APS_tz17_hh"	156					
156.0	674	2	"\"Maize, Mkuuta farm\""	2	2									"APS_tz17_hh"	156					
156.0	675	3	"\"Fallow, Ihanga farm\""	3	2									"APS_tz17_hh"	156					
157.0	676	1	"Ihanga Maize"	1	2									"APS_tz17_hh"	157					
157.0	677	2	"Ihanga Fallow"	2	2									"APS_tz17_hh"	157					
157.0	678	3	"Ihanga Mabondeni"	3	6									"APS_tz17_hh"	157					
157.0	679	4	"Tambalan'gombe Maize"	4	2									"APS_tz17_hh"	157					
158.0	680	1	"\"Maize, Sunflower and beans, Igulula farm\""	1	2									"APS_tz17_hh"	158					
158.0	681	2	"\"Maize  and beans, Tambalangombe farm\""	2	2									"APS_tz17_hh"	158					
159.0	682	1	"Ihanga Maize 1"	1	2									"APS_tz17_hh"	159					
159.0	683	2	"Ihanga Maize 2"	2	2									"APS_tz17_hh"	159					
159.0	684	3	"Tambalang'ombe Maize"	3	2									"APS_tz17_hh"	159					
159.0	685	4	"Ihanga Sugarcane"	4	1	0	2	1	1	1				"APS_tz17_hh"	159					
159.0	686	5	"Ihanga Mabondeni"	5	6									"APS_tz17_hh"	159					
160.0	687	1	"Nyumbani"	1	2									"APS_tz17_hh"	160					
160.0	688	2	"Makungu"	2	2									"APS_tz17_hh"	160					
160.0	689	3	"Forest"	3	7									"APS_tz17_hh"	160					
160.0	690	4	"Sweet potatoes"	4	2									"APS_tz17_hh"	160					
161.0	691	1	"Ihanga 1"	1	3									"APS_tz17_hh"	161					
161.0	692	2	"Ihanga 2"	2	3									"APS_tz17_hh"	161					
161.0	693	3	"Ihanga"	3	2									"APS_tz17_hh"	161					
162.0	694	1	"Maize"	1	3									"APS_tz17_hh"	162					
162.0	695	2	"Maize"	2	2									"APS_tz17_hh"	162					
162.0	696	3	"Maize"	3	2									"APS_tz17_hh"	162					
162.0	697	4	"Shamba la nyumbani"	4	2									"APS_tz17_hh"	162					
163.0	698	1	"Ihanga"	1	3									"APS_tz17_hh"	163					
163.0	699	2	"Tambarang'ombe"	2	3									"APS_tz17_hh"	163					
163.0	700	3	"Kingembe"	3	4									"APS_tz17_hh"	163					
163.0	701	4	"Maize cowpea"	4	3									"APS_tz17_hh"	163					
164.0	702	1	"Maize"	1	2									"APS_tz17_hh"	164					
164.0	703	2	"Maize"	2	2									"APS_tz17_hh"	164					
164.0	704	3	"Maize"	3	2									"APS_tz17_hh"	164					
165.0	705	1	"Nyumbani"	1	2									"APS_tz17_hh"	165					
165.0	706	2	"Nyumbani 2"	2	2									"APS_tz17_hh"	165					
166.0	707	1	"Nyumbani "	1	2									"APS_tz17_hh"	166					
166.0	708	2	"Pangani"	2	2									"APS_tz17_hh"	166					
166.0	709	3	"Nyumbani  2"	3	2									"APS_tz17_hh"	166					
167.0	710	1	"\"Tomato, Kilabuni farm\""	1	2									"APS_tz17_hh"	167					
167.0	711	2	"\"Maize, Kwanyawami farm\""	2	2									"APS_tz17_hh"	167					
167.0	712	3	"\"Finger millet, Mawalla farm\""	3	2									"APS_tz17_hh"	167					
167.0	713	4	"Fallow"	4	2									"APS_tz17_hh"	167					
168.0	714	1	"Nyumbani"	1	2									"APS_tz17_hh"	168					
168.0	715	2	"Mahindi"	2	2									"APS_tz17_hh"	168					
169.0	716	1	"Mahindi"	1	2									"APS_tz17_hh"	169					
169.0	717	2	"Mahindi2"	2	2									"APS_tz17_hh"	169					
169.0	718	3	"Fallow"	3	2									"APS_tz17_hh"	169					
170.0	719	1	"Homesteady"	1	3									"APS_tz17_hh"	170					
170.0	720	2	"Maize sunflower"	2	3									"APS_tz17_hh"	170					
170.0	721	3	"Sunflower"	3	3									"APS_tz17_hh"	170					
171.0	722	1	"Homestead"	1	3									"APS_tz17_hh"	171					
171.0	723	2	"Chini"	2	3									"APS_tz17_hh"	171					
171.0	724	3	"Ng'ambo"	3	3									"APS_tz17_hh"	171					
172.0	725	1	"Mazombe"	1	1	0	2	1	1	1				"APS_tz17_hh"	172					
172.0	726	2	"Ulolesi"	2	2									"APS_tz17_hh"	172					
173.0	727	1	"Dunguya Maize"	1	2									"APS_tz17_hh"	173					
173.0	728	2	"Ng'ambo Maize"	2	2									"APS_tz17_hh"	173					
173.0	729	3	"Ng'ambo Tomato"	3	2									"APS_tz17_hh"	173					
173.0	730	4	"Dunguya Garden"	4	6									"APS_tz17_hh"	173					
174.0	731	1	"Lunguya maize"	1	2									"APS_tz17_hh"	174					
174.0	732	2	"Lunguya garden"	2	6									"APS_tz17_hh"	174					
174.0	733	3	"Mawala maize"	3	2									"APS_tz17_hh"	174					
174.0	734	4	"Mawala sunflower"	4	2									"APS_tz17_hh"	174					
174.0	735	5	"Bondeni"	5	2									"APS_tz17_hh"	174					
175.0	736	1	"Mazombe juu"	1	2									"APS_tz17_hh"	175					
175.0	737	2	"Fallow"	2	2									"APS_tz17_hh"	175					
176.0	738	1	"Chawanda"	1	3									"APS_tz17_hh"	176					
176.0	739	2	"Kigulu"	2	3									"APS_tz17_hh"	176					
176.0	740	3	"Igunga"	3	3									"APS_tz17_hh"	176					
176.0	741	4	"Vitono"	4	3									"APS_tz17_hh"	176					
176.0	742	5	"Chawanda"	5	3									"APS_tz17_hh"	176					
177.0	743	1	"Nyamwanga"	1	3									"APS_tz17_hh"	177					
177.0	744	2	"Vikoga"	2	3									"APS_tz17_hh"	177					
177.0	745	3	"Chelesi"	3	3									"APS_tz17_hh"	177					
178.0	746	1	"Maize"	1	3									"APS_tz17_hh"	178					
178.0	747	2	"Shamba la nyumbani"	2	2									"APS_tz17_hh"	178					
179.0	748	1	"Maize"	1	2									"APS_tz17_hh"	179					
179.0	749	2	"Shamba la nyumbani"	2	2									"APS_tz17_hh"	179					
179.0	750	3	"Maize"	3	2									"APS_tz17_hh"	179					
180.0	751	1	"\"Maize Sunflower, Dunguya farm\""	1	2									"APS_tz17_hh"	180					
